tiempo, mV
0.452,0.122698743101905
0.454,0.12619327896947
0.456,0.122440987793978
0.458,0.0994168575947164
0.46,0.0797328848624518
0.462,0.0617920308607795
0.464,0.0355372067330787
0.466,0.025072745349123
0.468,0.0294208610574903
0.47,0.0309788696740968
0.472,0.0297839206942699
0.474,0.0262610820290643
0.476,0.0309607347633265
0.478,0.0214316290340331
0.48,0.0429366090222905
0.482,0.0853521843068234
0.484,0.0929563857690656
0.486,0.107246368686507
0.488,0.0862849911033294
0.49,0.0882442949541507
0.492,0.062244318690549
0.494,0.0610450929245963
0.496,0.0618475749906899
0.498,0.0774760684263525
0.5,0.0999999999999995
0.502,0.127523931573647
0.504,0.12315242500931
0.506,0.103954907075404
0.508,0.0877556813094518
0.51,0.08175570504585
0.512,0.0737150088966708
0.514,0.0927536313134922
0.516,0.127043614230934
0.518,0.174647815693176
0.52,0.187063390977709
0.522,0.198568370965967
0.524,0.184039265236674
0.526,0.168738917970936
0.528,0.15021607930573
0.53,0.144021130325903
0.532,0.140579138942509
0.534,0.164927254650876
0.536,0.199462793266921
0.538,0.18820796913922
0.54,0.175267115137549
0.542,0.150583142405284
0.544,0.117559012206022
0.546,0.0988067210305295
0.548,0.092301256898095
0.55,0.0849999999999999
0.552,0.0896564824500982
0.554,0.113832599194472
0.556,0.138929577702279
0.558,0.137056177819719
0.56,0.124732884862452
0.562,0.129152710635778
0.564,0.124048616824777
0.566,0.0974334251241205
0.568,0.107463121709296
0.57,0.115978869674097
0.572,0.0928261813460763
0.574,0.0786217618040627
0.576,0.0644721448550259
0.578,0.0437923088090313
0.58,0.0329366090222905
0.582,0.0379915045318254
0.584,0.0444449756773665
0.586,0.0248856889115093
0.588,0.0382427304515232
0.59,0.0282442949541509
0.592,0.024202058038743
0.594,0.0286844131495984
0.596,0.0383361648989909
0.598,0.0551153886513544
0.6,0.0949999999999993
0.602,0.0998846113486442
0.604,0.0966638351010088
0.606,0.0963155868504021
0.608,0.0857979419612581
0.61,0.06675570504585
0.612,0.0717572695484768
0.614,0.07511431108849
0.616,0.0955550243226321
0.618,0.112008495468173
0.62,0.117063390977709
0.622,0.111207691190969
0.624,0.0955278551449756
